fld_prodid,fld_level0,fld_level0id,Category,ID,Category,ID,Name,Business Type,Description,Year Of Establishment,Landline,Mobile,E-mail,Web address,Address,Pincode,Working Hours,Working Days,Mode of Payment,Logo Location,,
1,Building Services,15,Building Cost Estimation,7,Building Cost Estimation,7,Dar Builders,Building Estimation,DAR BUILDERSÿis in the business of creating quality living environs that reflect our clients? vision as well as our commitment to the highest standards of excellence and ethics. We pride ourselves in innovation people development cost-effectiveness excellent value and delivering the best product possible within the specified quality honouring timely delivery of homes.,2013,,91 94432 79503 | 91 98428 10700,"info@darbuilders.com
darbuilders.com@gmail.com",www.darbuilders.com,"2|611-26-4
P.V.K.R Nagar
G.R Nagar K.Pudur
Madurai - 625007",625007,09:30 am - 08:30 pm,Monday To Saturday,,Dar-builders.jpg,0,0
2,Building Services,15,Building Cost Estimation,7,Building Cost Estimation,7,GOLDEN CONSTRUCTION|GOLDEN MARKETING,Building Estimation,Golden Construction is the best building construction works in Madurai. We are doing all types of construction works. We are smart. We are dynamic and we are growing really really fast. We are the smart group of companies. We are providing the first class services to our customers.,1989,ÿ0452-4504180,7871183111 | 7871181555,"goldenmarketingindia@gmail.com
goldenconstruction7@gmail.com",www.goldenconstructionmdu.com,"No 6
TPK Road
Palanganathamÿ
Madurai - 625003",625003,09:30 am - 09:30 pm,Monday To Saturday,cash,golden.jpg,0,0
3,Building Services,15,Building Cost Estimation,7,Building Cost Estimation,7,ELITE DEVELOPERS,Building Estimation,ELITE DEVELOPERSÿis a leading Building Construction and Real Estate company in Madurai.,2012,0452-4250177,8940568033 | 9790222020,info@elitedeveloper.in,www.elitedeveloper.in,"136 Kallalagar Complex ( Shop No. 5)
Alagarkovil Main Road
Tallakulam
Madurai - 625002",625002,09:30 am - 06:30 pm | 05:30 am to 05:30 pm,Monday To Saturday | Sunday,cash,elite.jpg,0,0
4,Building Services,15,Building Cost Estimation,7,Building Cost Estimation,7,SRI KARTHIKA CONSTRUCTION,Building Estimation,SRI KARTHIKA CONSTRUCTION is a leading Building Construction and Real Estate company in Madurai.,,0452-2581177,9842986710 | 7598387288,arumugamv.69@gmail.com,,"No. 96 New LIG Colony 
Near Goicha Complex
Annanagar
Madurai - 625020",625020,09:30 am - 09:30 pm,Monday To Saturday,cash,karthika.jpg,0,0
5,Building Services,15,Building Cost Estimation,7,Building Cost Estimation,7,SRIE GURU CONSTRUCTION,Building Estimation,SRIE GURU CONSTRUCTION is a leading Building Construction and Real Estate company in Madurai.,,,9344102322 | 9629720399,srisaiavatar@gmail.com,,"D 78 T P K Road
Balaji Nagar Madurai City
Madurai - 625001 ",625001,09:30 am - 09:30 pm,Monday To Saturday,cash,SRIEGURU.jpg,0,0
6,Building Services,15,Building Cost Estimation,7,Building Cost Estimation,7,YASOTHAI CONSTRUCTIONS,Building Estimation,YASOTHAI CONSTRUCTIONS is a leading Building Construction and Real Estate company in Madurai.,,,9865417550,sree2320230@gmail.com,,"Door No 19
Sathya Complex
Co-op Tex Colony
Theni Main Road
Madurai - 625016ÿ",625016,09:30 am - 09:00 pm,Monday To Saturday,cash,yasothai.jpg,0,0
7,Building Services,15,Landscape Designers,9,Landscape Designers,9,Vivek Nursery Garden,Landscape Designers,We are one of Indias Leading horticulture firms offering Gardening Products. These include indoor plants outdoor plants plastic pots nurseryplants ficus trees and palms. All these plants are reared at our well established nursery setup using natural plant growth agents so as to provide in the plants a healthy growth life. Vivek Nursery Garden is situated in Madurail Tamil Nadu India. The nursery was commercially started.,1990,,9842160624 | 9842160628,info@viveknurserygarden.com,www.viveknurserygarden.com,"62 T.P.K. Road Opp.Kumaragam
Palanganatham
Madurai - 625 003",625003,09:30 am - 09:00 pm,Monday To Sunday,cash,vivek.jpg,0,0
8,Building Services,15,Landscape Designers,9,Landscape Designers,9,Madurai Nursery Garden,Landscape Designers,Madurai Nursery Garden is a family owned businessÿdedicated to quality and service. Our nursery has a wideÿselection of trees grasses and flowers at the best possible price. We also sell garden related products such as soilÿfertilizers and pesticides. Come visit us and browse our gardens or give us a call with your needs. We will be happyÿto assist you with any questions and help you select theÿbest plants for your garden.ÿ,,,999-450-2229,madurainurserygarden@gmail.com,www.madurainurserygarden.com,"No 1|291b Thiruppalai
Anbu Nagar
Thiagarajar College
Madurai - 625009",625009,09:30 am - 06:00 pm,Monday To Saturday,cash,maduraigarden.jpg,0,0
9,Building Services,15,Landscape Designers,9,Landscape Designers,9,Sastha soil Testing and Foundation,Landscape Designers,Sastha Soil Testing andFoundation Engineering Services are one of the trusted business organizations engaged in renderingÿConstruction and Soil Testingÿrelated services. The services are appreciated for their reliability and effectiveness by clients across the nation.ÿ,1983,"0452-4393625
0452-4360625
0452-2580901",9344104870 | 9345145151 | 9655865540,,www.sasthasoiltesting.com,"No C-128 New HIG Colony
Shenbaga Thottam
Anna Nagar
Near Mela Madai Signal
Back Side Of Vodafone Office 
Madurai - 625020",625020,10:00 am - 07:30 pm,Monday To Saturday,cash,sastha.jpg,0,0
10,Building Services,15,Security Services,8,Security Services,8,Majestic Security and Detective Services,Security Services,MAJESTIC SECURITY and DETECTIVE SERVICES we adhere by all government regulations such as enrollment with Employee State Insurance Employees provident fund Service tax regulations minimum basic Salary regulation and Permanent A|c number of the company. So dontt wait hand yourself into the safe and experienced hands of MAJESTIC SECURITY and DETECTIVE SERVICES.,2012,,9841062628,smajestics36@ymail.com,www.majesticsecurity.in,"No 6 Bharathiyar Street
Madurai - 625001",625001,12:00 am - 11:59 pm,Monday To Saturday,"Cash
Visa Card
Money Orders
Diners Club Card
American Express Card
Master Card
Debit Cards
Cheques
Financing Available
Credit Card",majestic.jpg,0,0
11,Building Services,15,Security Services,8,Security Services,8,Southern Security Bureau,Security Services,We would like to introduce ourselves as one of the reputed company in security Industry Possessing unique name sinceÿ1988ÿinÿTamil Nadu.ÿThe organization is owned byÿEx-Servicemenÿwho had vast experience in this field and origin is been from Indian Navy provost security and Intelligence department.,1988,0452 2341574,9965888569 | 9842150574 | 9842110574,"ssbmadurai@gmail.com
ssb.bose@gmail.com",www.ssbmadurai.com,"No 104 Jawans Bhavan
Near Railway Station
Near Thanga Regal Theatre
Madurai City
Madurai - 625001",625001,12:00 am - 11:59 pm,Monday To Sunday,"Diners Club Card
Cheques
Travelers Cheques",southern-security.jpg,0,0
12,Building Services,15,Security Services,8,Security Services,8,Sai Security Service,Security Services,Sai Security Service is in this field since several years. We value the trust and beliefs vested in us by our clients. We are well known for our services in the market and are happy to have you as our customer. We deal with Corporate Security Guards Industrial Security Guards Personal Bodyguards and Residential Security Guards.,,,9944598113 | 9543374392,saisecurity9944@gmail.com,,"No 50|1 Krishnapalayam 2nd Street Arappalayam Cross Road
Madurai City
Madurai - 625001",625001,12:00 am - 11:59 pm,Monday To Sunday,Cash,saisecurity.jpg,0,0
13,Building Services,15,Security Services,8,Security Services,8,Gautam Detective and Security Services Private Limited,Security Services,Our private Security Agency provides full security in protecting ÿpersonnel  private ÿand public properties by using our expertise. We have young energetic and efficient security staffs for the best performance.ÿ,1990,,9176615829 | 9444022067,mdu@gautamdetective.com,www.gautamdetective.com,"No 156 Lakshmi Illam
Alagar Kovil Mani Road
Alagar Nagar
K Pudhur
Madurai - 625007",625007,09:30 am to 06:30 pm,Monday To Saturday,"Cash
Cheques",gowtham.jpg,0,0
14,Building Services,15,Security Services,8,Security Services,8,Quality Security Force,Security Services,We are one of the leading Security Force in Madurai. Quality Security Force has endeavored ÿto brings the best security solutions to the customer through Innovation and Commitment to quality and compliance to national standards.ÿ,2005,0452-3206890,9443167622,qualitysecurity@gmail.com,www.maduraileads.com,"No 3 Mohana Complex
Opposite To Mapillai Vinayagar Theatre Bye Pass Road
Kalavasal
Madurai - 625016",625016,12:00 am - 11:59 pm,Monday To Sunday,"Cash
Cheques",quality.jpg,0,0
15,Building Services,15,Security Services,8,Security Services,8,Vanmathi Security Service,Security Services,Vanmathi Security Service has been a leading security service provider for the past 22 years.Started in the year 1990 with the goal to provide top notch security solutions.We serve multiple industry sectors such as Factories Companies Industrial Complexes Banks Commercial Complexes Educational and Research Institutes Central | State Government Organizations and Residential Complexes.Headquarted in Madurai Falcon has been a pioneer in Integrated Security Solution where each solution is tailor made to fit the needs of the client.,2004,0452-2483876,9842599843 | 9942903835 | 9842299843,"vanmathi_2007@rediffmail.com
vanmathiservice@gmail.com",www.vanmathisecurityservice.com,"No E 19 Near Thirunagar 3rd Stop
Nethaji 4th Cross Street
Madurai Ho
Madurai - 625001",625001,12:00 am - 11:59 pm,Monday To Sunday,"Cash
Visa Card
Money Orders
Diners Club Card
American Express Card
Master Card
Debit Cards
Cheques
Financing Available
Credit Card",vanmathi.jpg,0,0
16,Building Services,15,Security Services,8,Security Services,8,Vinayaga Security Service,Security Services,Prominent Dealers ofÿSecurityÿSystems inÿMaduraiÿSriÿVinayagaÿAgencies is one of the magnificient supplier ofÿsecurityÿand surveillance systems inÿMadurai.,2006,,9865106373 | 9500752515,vssecurity@gmail.com,www.vss.in,"No 224|2 1st Floor
L L Complex
Opposite Jayaram Bakery
Kalavasal Theni Main Road
Madurai Ho
Madurai - 625001",625001,08:30 am - 08:30 pm,Monday To Saturday,"Cash
Cheques",,,
17,Building Services,15,Security Services,8,Security Services,8,Vel Security Service,Security Services,Vel Security Servicesÿis one of the leading security agencies run by well qualified experienced and never retired defence service officers.,2012,0452-2529255,9095728255 | 8489851223,vel1971security@gmail.com,www.velsecurityservice.com,"11|8|23 near mariamman temple
near 2nd bus stop
bharathipuram 8th street
s alangulam Madurai HO
Madurai - 625001",625001,12:00 am - 11:59 pm,Monday To Sunday,Cash,Vel-Security.jpg,,
18,Building Services,15,Security Services,8,Security Services,8,Ram Ragubathi Security Force,Security Services,We deal with various kinds of security service providers which are well versed with the technology. We are eminent in providing Industrial Security Gate security Perimeter security Hazardous Area SecurityandVIP Escorts. Our safety and security service is the best among the industry backed by the same reason. We have a tough selection process for the security guards ensuring that only the best are appointed to both temporary and permanent assignments. We have strived hard in proving as the number one in the security sphere.,2006,,9842599843,,www.ramragubathisecurityforce2.com,"Tirunagar
Madurai
Tamilnadu South  - 625006",625006,12:00 am - 11:59 pm,Monday To Sunday,Cash,ramragubathi.jpg,,
19,Building Services,15,Interior Designer,4,Interior Designer,4,Sun interior Builders,Interior Decorators ,We are glad to introduce ourselves as an INTEGRATED HOUSE Where in you can make your dream chanel replica Home | Office furnishings at one place.We have an well experienced ARCHITECT MR.S. HAR1HARASUDHAN. B.Arch. A.I.I.A representing M|S. GLOW Architects and Interior Designer to chanel replica handbags study and design your requirements with Esteem and aesthetic look. Then we have Mr. S.VIGNESHPRABU.MS (ITandM)Int Des with rich exposure in work execution representing M|S SUN INTERIORS AND BUILDERS who can deftly execute the Interior works.,2001,,9750947653|9843012378,,www.sunmodularinteriorstore.com,No 125c Katchery Road Madurai HO Madurai - 625001,625001,9.00am to 9.00pm | 12am to 12am,Monday To Sunday,"Cash,Cheques",Sun-interior-Builders.jpg,,
20,Building Services,15,Interior Designer,4,Interior Designer,4,AAA Decorators,Interior Decorators ,Contrary to popular belief Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC making it over 2000 years old. Richard McClintock a Latin professor at Hampden-Sydney College in Virginia looked up one of the more obscure Latin words consectetur from a Lorem Ipsum passage and going through the cites of the word in classical literature discovered the undoubtable source.,2009,,9944097595|9042764191,,www.aaadecorator.com,No 26 A Kazimar Street 3rd Lane Madurai HO Madurai - 625001,625001,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",AAA-Decorators.jpg,,
21,Building Services,15,Interior Designer,4,Interior Designer,4,Arrow Interiors,Interior Decorators ,Arrow Interiors is counted among the noted organization engaged in offering a quality assured range of Construction material. The products range Rods Blinds Fall Ceiling and Stain Glass. All the industrial construction products that we offer are sourced from trusted manufacturers of the market.,2009,2682068,9524007000 | 8344005000,,,No 98 C Near Iyer Bangalow Bus Stop Madurai Reserve Lines Madurai - 625014,625014,"09:00 am to 08:00 pm | 
05:30 am to 05:30 am","Monday To Saturday |
Sunday","Cash,Cheques",Arrow-Interiors.jpg,,
