"fld_brndlogoid","fld_level0","fld_level0id","fld_brndlogo","fld_brandid","fld_brandname","fld_delstatus"
"1","Civil","5","Brand_logo/TATA-TISCON.png","10","TATA TISCON","0"
"2","Civil","5","Brand_logo/Vizag.png","11","VIZAG STEEL","0"
"3","Civil","5","Brand_logo/Essar.png","12","ESSAR","0"
"4","Civil","5","Brand_logo/SAIL.png","13","SAIL","0"
"5","Civil","5","Brand_logo/JINDAL-Steel-and-Power.jpg","14","JINDAL STEEL & POWER","0"
"6","Civil","5","Brand_logo/ACC-Cements.png","15","ACC","0"
"7","Civil","5","Brand_logo/Ultratech-cement.png","16","UltraTech CEMENT","0"
"8","Civil","5","Brand_logo/RAMCO-Cements.png","17","THE RAMCO CEMENTS LIMITED","0"
"9","Civil","5","Brand_logo/Bharathi-Cements.png","18","Bharathi CEMENT","0"
"10","Civil","5","Brand_logo/Chettinad-Cements.png","19","Chettinad cement","0"
"11","Civil","5","Brand_logo/Dalmia-Cements.png","20","Dalmia","0"
"12","Civil","5","Brand_logo/India-Cements.png","21","The India Cements Limited","0"
"13","Civil","5","Brand_logo/JK-Cements.png","1","JK Cement LTD","0"
"14","Doors and Windows","9","Brand_logo/Fenesta-Windows.png","22","Fenesta","0"
"15","Doors and Windows","9","Brand_logo/Rehau-Windows.png","23","REHAU","0"
"16","Doors and Windows","9","Brand_logo/LG-Hausys.png","24","LG Hausys","0"
"17","Doors and Windows","9","Brand_logo/Kommerling-Windows.png","25","KOMMERLING","0"
"18","Doors and Windows","9","Brand_logo/Window-Magic-Windows.png","26","window magic","0"
"19","Doors and Windows","9","Brand_logo/Sintex-Windows.png","27","Sintex","0"
"20","Doors and Windows","9","Brand_logo/Eagle-Windows Doors.png","28","EaGLE WINDOWS","0"
"21","Electrical","12","Brand_logo/Finolex.png","2","Finolex","0"
"22","Electrical","12","Brand_logo/Kundan-Wires-Cables.png","29","KUNDAN CAB","0"
"23","Electrical","12","Brand_logo/Legrand.png","30","legrand","0"
"24","Electrical","12","Brand_logo/Havells.png","3","HAVELLS","0"
"25","Electrical","12","Brand_logo/Schneider-Electric.png","31","Schneider Electric","0"
"26","Electrical","12","Brand_logo/Crabtree.png","32","Crabtree","2"
"27","Electrical","12","Brand_logo/ABB.png","33","ABB","2"
"28","Electrical","12","Brand_logo/GM-Switches.png","34","GM","0"
"29","Electrical","12","Brand_logo/Goldmedal.png","35","Goldmedal","0"
"30","Electrical","12","Brand_logo/Anchor.png","36","ANCHOR","0"
"31","Electrical","12","Brand_logo/Hager.png","37","hager","0"
"32","Electrical","12","Brand_logo/L&T.png","38","LARSEN & TOUBRO","2"
"33","Electrical","12","Brand_logo/GE.png","4","GE","2"
"34","Electrical","12","Brand_logo/Vimal.png","39","VIMAL","2"
"35","Electrical","12","Brand_logo/EON.png","40","EON","2"
"36","Electrical","12","Brand_logo/MK.png","41","MK","2"
"37","Electrical","12","Brand_logo/Philips.png","5","PHILIPS","2"
"38","Flooring","1","Brand_logo/RAK-Tiles.png","42","RAK CERAMICS","0"
"39","Flooring","1","Brand_logo/Johnson-Tiles.png","43","JOHNSON-TILES","0"
"40","Flooring","1","Brand_logo/somany.png","44","SOMANY","0"
"41","Flooring","1","Brand_logo/Kajaria-Tiles.png","45","Kajaria","0"
"42","Flooring","1","Brand_logo/NITCO-Tiles.png","46","NITCO","0"
"43","Flooring","1","Brand_logo/Amstrong-World-Industries.png","47","Armstrong","0"
"44","Flooring","1","Brand_logo/Responsive.png","48","RESPONSIVE","2"
"45","Flooring","1","Brand_logo/Surfaces-India-Flooring.png","49","SURFACES INDIA ","2"
"46","Flooring","1","Brand_logo/Red-Floor.png","50","Red Floor India","2"
"47","Flooring","1","Brand_logo/Notion.png","51","notion","2"
"48","Glass and Plywood","2","Brand_logo/SAINT-GOBAIN.png","52","SAINT-GOBAIN","0"
"49","Glass and Plywood","2","Brand_logo/Centuryply.png","53","CENTURYPLY","0"
"50","Glass and Plywood","2","Brand_logo/Greenply-Industries.png","54","Greenply","0"
"51","Glass and Plywood","2","Brand_logo/AIS.png","55","AIS","0"
"52","Glass and Plywood","2","Brand_logo/HNG.png","56","HNG","0"
"53","Glass and Plywood","2","Brand_logo/Jai-Mata-Glass-Limited.png","57","Jai Mata Glass Limited","0"
"54","Glass and Plywood","2","Brand_logo/MAYUR.png","58","MAYUR PLYWOOD","0"
"55","Hardware","7","Brand_logo/Godrej.png","6","Godrej","0"
"56","Hardware","7","Brand_logo/Haefele.png","59","HAFELE","0"
"57","Hardware","7","Brand_logo/Dorma-hardwares.png","60","DORMA","0"
"58","Hardware","7","Brand_logo/Hettich.png","61","Hettich","0"
"59","Hardware","7","Brand_logo/DECOR.png","62","Decor","0"
"60","Hardware","7","Brand_logo/Enox.png","63","ENOX","0"
"61","Hardware","7","Brand_logo/Hardwyn.png","64","Hardwyn","0"
"62","Hardware","7","Brand_logo/Palladium.png","65","Palladium","0"
"63","Lighting","3","Brand_logo/Bajaj.png","66","BAJAJ","0"
"64","Lighting","3","Brand_logo/Crompton-Greaves.png","67","CG","0"
"65","Lighting","3","Brand_logo/GE.png","4","GE","0"
"66","Lighting","3","Brand_logo/Havells.png","3","HAVELLS","0"
"67","Lighting","3","Brand_logo/OSRAM.png","68","OSRAM","0"
"68","Lighting","3","Brand_logo/Philips.png","5","PHILIPS","0"
"69","Lighting","3","Brand_logo/Surya.png","69","SURYA","0"
"70","Lighting","3","Brand_logo/Syska.png","70","Syska","0"
"71","Lighting","3","Brand_logo/khaitan.png","71","khaitan","0"
"72","Lighting","3","Brand_logo/Usha.jpg","72","USHA","0"
"73","Paints","4","Brand_logo/DR.FIXIT.png","73","DR.FIXIT","0"
"74","Paints","4","Brand_logo/Asian.png","74","asianpaints","0"
"75","Paints","4","Brand_logo/Berger.png","75","Berger","0"
"76","Paints","4","Brand_logo/Dulux.png","76","Dulux","0"
"77","Paints","4","Brand_logo/NEROLAC.png","77","NEROLAC","0"
